tahun,provinsi,kabupaten_kota,kecamatan,kode_prov,kode_kabkota,kode_kec,jenjang,jumlah_satuan_pendidikan,date_pull,jumlah_laki,jumlah_perempuan,jumlah_alergi,jumlah_fobia,jumlah_intoleransi,jumlah_penerima_manfaat,jumlah_kondisi_khusus,jumlah_satpen_negeri,jumlah_satpen_swasta
2026,Prov. Papua Barat Daya,Kota Sorong,Kec. Sorong Utara,390000,390600,390605,SMK,1,2026-06-17 10:11:40,108,470,0,0,0,578,0,0,1
2026,Prov. Papua Barat Daya,Kab. Sorong,Kec. Aimas,390000,390400,390407,PAUD,1,2026-06-17 10:11:40,0,0,0,0,0,0,0,0,1
2026,Prov. Papua Barat Daya,Kab. Sorong,Kec. Aimas,390000,390400,390407,SMP,1,2026-06-17 10:11:40,0,0,0,0,0,0,0,1,0
2026,Prov. Papua Barat Daya,Kab. Sorong,Kec. Mariat,390000,390400,390439,PAUD,1,2026-06-17 10:11:40,0,0,0,0,0,0,0,0,1
2026,Prov. Papua Pegunungan,Kab. Tolikara,Kec. Biuk,380000,380400,380445,SD,1,2026-06-17 10:11:40,0,0,0,0,0,0,0,1,0
2026,Prov. Papua Pegunungan,Kab. Tolikara,Kec. Kembu,380000,380400,380404,SD,1,2026-06-17 10:11:40,250,204,0,0,0,454,0,0,1
2026,Prov. Papua Pegunungan,Kab. Yahukimo,Kec. Werima,380000,380300,380317,SD,1,2026-06-17 10:11:40,0,0,0,0,0,0,0,1,0
2026,Prov. Papua Pegunungan,Kab. Pegunungan Bintang,Kec. Serambakon,380000,380200,380215,PAUD,1,2026-06-17 10:11:40,0,0,0,0,0,0,0,1,0
2026,Prov. Papua Selatan,Kab. Mappi,Kec. Obaa,370000,370300,370301,SD,1,2026-06-17 10:11:41,0,0,0,0,0,0,0,0,1
2026,Prov. Papua Selatan,Kab. Mappi,Kec. Obaa,370000,370300,370301,SMA,1,2026-06-17 10:11:41,0,0,0,0,0,0,0,0,1
2026,Prov. Papua Selatan,Kab. Mappi,Kec. Obaa,370000,370300,370301,SMK,6,2026-06-17 10:11:41,2984,2172,0,0,0,5156,0,6,0
2026,Prov. Papua Selatan,Kab. Mappi,Kec. Obaa,370000,370300,370301,SMP,1,2026-06-17 10:11:41,660,720,146,0,0,1380,146,1,0
2026,Prov. Papua Selatan,Kab. Mappi,Kec. Ti  Zain,370000,370300,370315,SD,1,2026-06-17 10:11:41,266,202,0,15,15,468,30,1,0
2026,Prov. Papua Selatan,Kab. Boven Digoel,Kec. Bomakia,370000,370200,370206,SD,1,2026-06-17 10:11:41,58,52,0,0,0,110,0,1,0
2026,Prov. Papua Selatan,Kab. Boven Digoel,Kec. Mandobo,370000,370200,370201,SMP,1,2026-06-17 10:11:41,198,200,0,0,0,398,0,0,1
2026,Prov. Papua Selatan,Kab. Merauke,Kec. Merauke,370000,370100,370101,PAUD,1,2026-06-17 10:11:41,0,0,0,0,0,0,0,0,1
2026,Prov. Papua Selatan,Kab. Merauke,Kec. Merauke,370000,370100,370101,SD,1,2026-06-17 10:11:41,0,0,0,0,0,0,0,0,1
2026,Prov. Papua Selatan,Kab. Merauke,Kec. Merauke,370000,370100,370101,SMP,1,2026-06-17 10:11:41,0,0,0,0,0,0,0,1,0
2026,Prov. Papua Selatan,Kab. Merauke,Kec. Okaba,370000,370100,370103,SMK,1,2026-06-17 10:11:41,0,0,0,0,0,0,0,1,0
2026,Prov. Papua Selatan,Kab. Merauke,Kec. Tanah Miring,370000,370100,370106,PAUD,2,2026-06-17 10:11:41,92,92,0,0,0,184,0,0,2
2026,Prov. Papua Selatan,Kab. Merauke,Kec. Tanah Miring,370000,370100,370106,SMK,1,2026-06-17 10:11:41,544,418,0,0,0,962,0,1,0
2026,Prov. Papua Tengah,Kab. Mimika,Kec. Kuala Kencana,360000,360400,360409,PAUD,1,2026-06-17 10:11:42,32,22,0,0,0,54,0,0,1
2026,Prov. Papua Tengah,Kab. Mimika,Kec. Kuala Kencana,360000,360400,360409,SD,1,2026-06-17 10:11:42,664,646,0,0,0,1310,0,1,0
2026,Prov. Papua Tengah,Kab. Mimika,Kec. Kuala Kencana,360000,360400,360409,SMP,2,2026-06-17 10:11:42,762,768,0,100,0,1530,100,1,1
2026,Prov. Papua Tengah,Kab. Mimika,Kec. Mimika Baru,360000,360400,360401,PAUD,2,2026-06-17 10:11:42,282,222,13,1,12,504,26,1,1
2026,Prov. Papua Tengah,Kab. Mimika,Kec. Mimika Baru,360000,360400,360401,SD,3,2026-06-17 10:11:42,1638,1534,0,0,0,3172,0,1,2
2026,Prov. Papua Tengah,Kab. Mimika,Kec. Mimika Baru,360000,360400,360401,SMA,1,2026-06-17 10:11:42,1014,1226,0,0,0,2240,0,1,0
